run_id,batch_id,disparity_diff,engagement_diff,accuracy_diff,esi_diff
1,1,-1.08,0.55,0.69,-0.028
1,2,-1.15,0.61,0.74,-0.031
1,3,-1.02,0.52,0.68,-0.027
1,4,-1.25,0.65,0.78,-0.033
1,5,-0.95,0.48,0.65,-0.026
1,6,-1.30,0.68,0.80,-0.034
1,7,-1.10,0.58,0.71,-0.029
1,8,-1.18,0.62,0.73,-0.032
1,9,-1.05,0.53,0.70,-0.028
2,1,-3.20,2.90,2.02,-0.075
2,2,-3.35,3.05,2.10,-0.079
2,3,-3.10,2.85,1.98,-0.073
2,4,-3.40,3.10,2.15,-0.082
2,5,-3.15,2.95,2.05,-0.076
2,6,-3.30,3.00,2.08,-0.078
2,7,-3.05,2.80,1.95,-0.072
2,8,-3.45,3.15,2.18,-0.084
2,9,-3.35,3.02,2.12,-0.080
3,1,-5.00,4.95,3.18,-0.115
3,2,-5.15,5.10,3.25,-0.120
3,3,-4.95,4.90,3.15,-0.113
3,4,-5.20,5.15,3.30,-0.122
3,5,-5.05,5.00,3.20,-0.116
3,6,-5.10,5.05,3.22,-0.118
3,7,-4.90,4.85,3.12,-0.112
3,8,-5.25,5.20,3.35,-0.124
3,9,-5.15,5.08,3.28,-0.119
4,1,-7.15,7.35,4.52,-0.162
4,2,-7.30,7.50,4.60,-0.168
4,3,-7.10,7.25,4.48,-0.160
4,4,-7.35,7.55,4.65,-0.172
4,5,-7.20,7.40,4.55,-0.164
4,6,-7.25,7.45,4.58,-0.166
4,7,-7.05,7.20,4.45,-0.158
4,8,-7.40,7.60,4.70,-0.174
4,9,-7.30,7.48,4.62,-0.170
5,1,-9.30,9.75,5.88,-0.209
5,2,-9.45,9.90,5.95,-0.215
5,3,-9.25,9.65,5.82,-0.205
5,4,-9.50,9.95,6.00,-0.218
5,5,-9.35,9.80,5.90,-0.211
5,6,-9.40,9.85,5.92,-0.213
5,7,-9.20,9.60,5.78,-0.203
5,8,-9.55,10.00,6.05,-0.222
5,9,-9.45,9.88,5.98,-0.216
6,1,-1.95,1.52,1.25,-0.047
6,2,-2.10,1.68,1.32,-0.052
6,3,-1.90,1.48,1.22,-0.045
6,4,-2.15,1.72,1.35,-0.054
6,5,-2.00,1.58,1.28,-0.049
6,6,-2.05,1.62,1.30,-0.051
6,7,-1.85,1.42,1.20,-0.044
6,8,-2.20,1.78,1.38,-0.055
6,9,-2.10,1.66,1.34,-0.053
7,1,-4.10,3.92,2.60,-0.095
7,2,-4.25,4.08,2.68,-0.100
7,3,-4.05,3.85,2.55,-0.092
7,4,-4.30,4.12,2.72,-0.102
7,5,-4.15,3.98,2.62,-0.096
7,6,-4.20,4.02,2.65,-0.098
7,7,-4.00,3.80,2.52,-0.090
7,8,-4.35,4.18,2.75,-0.104
7,9,-4.25,4.05,2.70,-0.101
8,1,-6.25,6.32,3.95,-0.141
8,2,-6.40,6.48,4.02,-0.146
8,3,-6.20,6.25,3.90,-0.138
8,4,-6.45,6.52,4.08,-0.150
8,5,-6.30,6.38,3.98,-0.143
8,6,-6.35,6.42,4.00,-0.145
8,7,-6.15,6.20,3.88,-0.136
8,8,-6.50,6.58,4.12,-0.152
8,9,-6.40,6.45,4.06,-0.148
9,1,-8.05,8.35,5.10,-0.182
9,2,-8.20,8.50,5.18,-0.188
9,3,-8.00,8.25,5.05,-0.178
9,4,-8.25,8.55,5.22,-0.192
9,5,-8.10,8.40,5.12,-0.184
9,6,-8.15,8.45,5.15,-0.186
9,7,-7.95,8.20,5.02,-0.176
9,8,-8.30,8.60,5.26,-0.194
9,9,-8.20,8.48,5.20,-0.190
10,1,-10.20,10.75,6.45,-0.229
10,2,-10.35,10.90,6.52,-0.235
10,3,-10.15,10.65,6.38,-0.225
10,4,-10.40,10.95,6.58,-0.238
10,5,-10.25,10.80,6.48,-0.231
10,6,-10.30,10.85,6.50,-0.233
10,7,-10.10,10.60,6.35,-0.223
10,8,-10.45,11.00,6.62,-0.242
10,9,-10.35,10.88,6.55,-0.237
