run_id,disparity_baseline,disparity_proposed,engagement_baseline,engagement_proposed,accuracy_baseline,accuracy_proposed,esi_baseline,esi_proposed
1,4.720000,3.600000,88.130000,88.710000,93.780000,94.500000,0.194000,0.165000
2,7.000000,3.740000,86.160000,89.130000,92.580000,94.640000,0.248000,0.172000
3,8.950000,3.860000,84.460000,89.480000,91.540000,94.760000,0.295000,0.178000
4,11.230000,4.000000,82.490000,89.900000,90.340000,94.900000,0.349000,0.185000
5,13.510000,4.140000,80.510000,90.310000,89.130000,95.040000,0.403000,0.192000
6,5.690000,3.660000,87.290000,88.890000,93.270000,94.560000,0.217000,0.168000
7,7.970000,3.800000,85.310000,89.300000,92.060000,94.700000,0.271000,0.175000
8,10.250000,3.940000,83.340000,89.720000,90.860000,94.840000,0.325000,0.182000
9,12.200000,4.060000,81.640000,90.070000,89.820000,94.960000,0.372000,0.188000
10,14.480000,4.200000,79.670000,90.490000,88.620000,95.100000,0.426000,0.195000
